Nro,Retorno,SP500
348,-0.037261544,24.76
349,0.021970127,25.31
350,-0.007535233,25.12
351,-0.037311708,24.2
352,0.015987223,24.59
353,0.001219265,24.62
354,0.008493479,24.83
355,0.017565322,25.27
356,0.014535711,25.64
357,-0.001951982,25.59
358,0.001951982,25.64
359,-0.004299401,25.53
360,-0.01023631,25.27
361,0.006311658,25.43
362,0.000786164,25.45
363,0.015207936,25.84
364,0.003476921,25.93
365,0.018342127,26.41
366,0.000378573,26.42
367,-0.003792193,26.32
368,0.00568291,26.47
369,0.005650797,26.62
370,0,26.62
371,0.010463474,26.9
372,0.005930336,27.06
373,0.001846041,27.11
374,0.011005247,27.41
375,0.013048391,27.77
376,0.010388773,28.06
377,0.004267432,28.18
378,0.004955762,28.32
379,0.00176398,28.37
380,-0.003177408,28.28
381,-0.002832863,28.2
382,0.002125399,28.26
383,0.010909839,28.57
384,-0.004209056,28.45
385,0.007005283,28.65
386,0.002440301,28.72
387,-0.002091322,28.66
388,0.00348311,28.76
389,-0.011540607,28.43
390,0.013971586,28.83
391,-0.00661217,28.64
392,0.004528835,28.77
393,-0.003830755,28.66
394,-0.016889916,28.18
395,0.011291581,28.5
396,0.013245227,28.88
397,0.006901339,29.08
398,0.016371443,29.56
399,-0.000676819,29.54
400,-0.003730715,29.43
401,-0.010245991,29.13
402,0.011604226,29.47
403,-0.037688125,28.38
404,0.030878429,29.27
405,0.008843595,29.53
406,0.003043113,29.62
407,0.001686625,29.67
408,0.018367523,30.22
409,0.009222727,30.5
410,0.005884293,30.68
411,-0.004246291,30.55
412,0.007825276,30.79
413,0.009696262,31.09
414,-0.000643501,31.07
415,-0.000643915,31.05
416,-0.001934237,30.99
417,0.009633986,31.29
418,0.013333531,31.71
419,0.003462934,31.82
420,-0.003147626,31.72
421,-0.022315239,31.02
422,0.025777084,31.83
423,-0.005039381,31.67
424,-0.018162041,31.1
425,0.013731654,31.53
426,-0.01148338,31.17
427,0.006714654,31.38
428,0.015180557,31.86
429,-0.008194184,31.6
430,0.002528446,31.68
431,0.001577039,31.73
432,-0.010773235,31.39
433,-0.000318624,31.38
434,-0.018656057,30.8
435,0.00162206,30.85
436,0.009035234,31.13
437,-0.028014861,30.27
438,-0.00364058,30.16
439,-0.00598605,29.98
440,0.007311432,30.2
441,-0.04227172,28.95
442,-0.010416761,28.65
443,0.06060409,30.44
444,-0.003290559,30.34
445,-0.002309851,30.27
446,0.01768219,30.81
447,-0.001624168,30.76
448,-0.006850459,30.55
449,-0.008216973,30.3
450,-0.035610078,29.24
451,0.015272654,29.69
452,-0.029046976,28.84
453,-0.039248453,27.73
454,0.019286312,28.27
455,-0.060889956,26.6
456,-0.032476589,25.75
457,0.014266677,26.12
458,-0.138575816,22.74
459,-0.107121079,20.43
460,0.11805493,22.99
461,0.049225041,24.15
462,-0.054021214,22.88
463,-0.104486772,20.61
464,0.036211674,21.37
465,-0.008930729,21.18
466,-0.064349682,19.86
467,-0.058581142,18.73
468,-0.058824321,17.66
469,0.08568925,19.24
470,0.053629441,20.3
471,-0.010398707,20.09
472,0.029911521,20.7
473,0.027163929,21.27
474,0.015858541,21.61
475,-0.003708859,21.53
476,-0.011679647,21.28
477,-0.029568201,20.66
478,0.012506176,20.92
479,0.001433007,20.95
480,0.032866808,21.65
481,0.018307147,22.05
482,-0.008196767,21.87
483,0.026174779,22.45
484,-0.002229655,22.4
485,0.007560632,22.57
486,-0.008453888,22.38
487,-0.055582618,21.17
488,0.024727175,21.7
489,-0.017197728,21.33
490,0.010725214,21.56
491,-0.006514681,21.42
492,-0.026971117,20.85
493,-0.033653505,20.16
494,0.004948056,20.26
495,0.006396086,20.39
496,0.021829632,20.84
497,-0.000960154,20.82
498,0.003356512,20.89
499,0.02645407,21.45
500,-0.012667305,21.18
501,0.002357936,21.23
502,0.012637659,21.5
503,-0.008876489,21.31
504,-0.000938967,21.29
505,0.015381333,21.62
506,-0.003242996,21.55
507,-0.001393081,21.52
508,0.001857011,21.56
509,0.004165708,21.65
510,-0.006952519,21.5
511,-0.008876489,21.31
512,0.008876489,21.5
513,0.005103235,21.61
514,0.000925069,21.63
515,0.009661911,21.84
516,0.009115833,22.04
